,幣別代號,類別,買入匯率,賣出匯率
0,Currency,Types,Buying Exchange Rates,Selling Exchange Rates
1,U.S. Dollar(USD),Spot,30.11400,30.21400
2,U.S. Dollar(USD),Cash,29.93600,30.35100
3,British Pound(GBP),Spot,39.60300,40.00300
4,British Pound(GBP),Cash,38.75300,40.60300
5,Hong Kong Dollar(HKD),Spot,3.83800,3.89800
6,Hong Kong Dollar(HKD),Cash,3.77600,3.91200
7,Australian Dollar(AUD),Spot,23.07700,23.27700
8,Australian Dollar(AUD),Cash,22.86700,23.49200
9,Singapore Dollar(SGD),Spot,22.04800,22.24800
10,Confederation Helvetica Franc(CHF),Spot,30.13700,30.40700
11,Canadian Dollar(CAD),Spot,23.39400,23.59400
12,Canadian Dollar(CAD),Cash,23.12400,23.86400
13,Japanese Yen (JPY),Spot,0.26460,0.26860
14,Japanese Yen (JPY),Cash,0.26310,0.26960
15,South African Rand(ZAR),Spot,2.10100,2.19100
16,Swedish Krona(SEK),Spot,3.55800,3.65800
17,Thailand Baht(THB),Spot,0.89140,0.93140
18,New Zealand Dollar(NZD),Spot,20.56500,20.76500
19,Euro(EUR),Spot,34.90000,35.30000
20,Euro(EUR),Cash,34.55000,35.55000
21,CNY,Spot,4.51400,4.56900
22,CNY,Cash,4.42400,4.59000
23,Turkish Lira(TRY),Spot,7.79900,8.15900
24,large amounts of US Dollars (USD),Spot,30.07400,30.25400
